"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Link"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","AT-1224-TWT-5V-2-R","https://robu.in/product/5v-active-electromagnetic-buzzer-pack-of-5/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeYd6KQJmaof5AqwX7G6G7RK&gclid=CjwKCAjw687NBhB4EiwAQ645dqGyKA2Q7VpjuFuCoSyLCFUHRbcrUggDKF3bwq9Ms8OPAqU6cx3GyxoCQQwQAvD_BwE"
"C1,C5,C7,C9,C11,C12,C14,C16,C19,C21,C23,C25,C27,C30","14","0.1uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CC0805KRX7R9BB104","https://robu.in/product/cl21a106kofnnne-samsang-16v-10uf-x5r-%C2%B110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeYd6KQJmaof5AqwX7G6G7RK&gclid=CjwKCAjw687NBhB4EiwAQ645dvOPfam1y5aCD1uRQvjlmer72tAuxihwH4D1G8BPdKh6SRiWARJldBoCKCYQAvD_BwE"
"C2,C6,C8,C10,C13,C15,C17,C18,C20,C22,C24,C26,C28","13","10uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CC0805KFX5R8BB106","https://robu.in/product/0402x104k100nt-fh-smd-multilayer-ceramic-capacitor-0-1-%C2%B5f100nf-10-v-0402-1005-metric-%C2%B1-10-x5r/"
"C3","1","680uf","","","","Capacitor_SMD:CP_Elec_6.3x7.7","~","EEE-FPV680XAL","https://robu.in/product/efft6r3ada681m0677-follon-680uf-6-3v-%C2%B120-smdd6-3xl7-7mm-aluminum-electrolytic-capacitors-smd-rohs/"
"C4","1","470uf","","","","Capacitor_SMD:CP_Elec_10x10.5","~","AFK477M25G24T-F","https://robu.in/product/efft6r3ada681m0677-follon-680uf-6-3v-%C2%B120-smdd6-3xl7-7mm-aluminum-electrolytic-capacitors-smd-rohs/"
"C29","1","10nf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B103KBANFNC","https://robu.in/product/0402x104k100nt-fh-smd-multilayer-ceramic-capacitor-0-1-%C2%B5f100nf-10-v-0402-1005-metric-%C2%B1-10-x5r/"
"C31,C33","2","12uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","  CL21B105KBFNNNF","https://robu.in/product/cl21a106kofnnne-samsang-16v-10uf-x5r-%C2%B110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeYd6KQJmaof5AqwX7G6G7RK&gclid=CjwKCAjw687NBhB4EiwAQ645dvOPfam1y5aCD1uRQvjlmer72tAuxihwH4D1G8BPdKh6SRiWARJldBoCKCYQAvD_BwE"
"C32","1","4.8nf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","0805B472K500CT","https://robu.in/product/cl21a106kofnnne-samsang-16v-10uf-x5r-%C2%B110-0805-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeYd6KQJmaof5AqwX7G6G7RK&gclid=CjwKCAjw687NBhB4EiwAQ645dvOPfam1y5aCD1uRQvjlmer72tAuxihwH4D1G8BPdKh6SRiWARJldBoCKCYQAvD_BwE"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10","10","SS54","","","","Diode_SMD:D_SMA","https://www.laro.com.pl/pdf/ss56.pdf","SS54","https://robu.in/product/ss54b-slkor-40v-550mv5a-5a-smbdo-214aa-schottky-diodes-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeYd6KQJmaof5AqwX7G6G7RK&gclid=CjwKCAjw687NBhB4EiwAQ645dhFgK7QWTnrPqJBCFVMKkjTLbr6I5VJmPHffxaZ_pS_3KzeiLFGuoBoCukcQAvD_BwE"
"D12","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","  LS R976-NR-1-0-20-R18",""
